勘定科目,自 2021年9月1日 至 2022年8月31日,自 2020年9月1日 至 2021年8月31日,自 2019年9月1日 至 2020年8月31日,自 2018年9月1日 至 2019年8月31日,自 2017年9月1日 至 2018年8月31日,自 2015年9月1日 至 2016年8月31日,自 2014年9月1日 至 2015年8月31日,自 2013年9月1日 至 2014年8月31日,自 2012年9月1日 至 2013年8月31日,自 2011年9月1日 至 2012年8月31日
Currency,（百万円）,（百万円）,（百万円）,（百万円）,（百万円）,（百万円）,（百万円）,（百万円）,（百万円）,（百万円）
売上収益（IFRS）,"2,301,122","2,132,992","2,008,846","2,290,548","2,130,060",,,,,
売上原価（IFRS）,"1,094,263","1,059,036","1,033,000","1,170,987","1,080,123",,,,,
売上総利益（IFRS）,"1,206,859","1,073,955","975,845","1,119,561","1,049,936",,,,,
販売費及び一般管理費（IFRS）,"900,154","818,427","805,821","854,394","797,476",,,,,
その他収益,"16,951","18,238","7,954","4,533","3,385",,,,,
その他費用,"27,391","25,315","28,952","12,626","20,244",,,,,
持分法による投資利益,"1,059",561,321,562,611,,,,,
営業利益,"297,325","249,011","149,347","257,636","236,212",,,,,"126,450"
金融収益（IFRS）,"123,820","23,859","11,228","12,293","9,693",,,,,
金融費用（IFRS）,"7,560","6,998","7,707","17,481","3,228",,,,,
継続事業からの税引前利益,"413,584","265,872","152,868","252,447",,,,,,
法人所得税費用（IFRS）,"128,834","90,188","62,470","74,400","73,304",,,,,
当期純利益,"284,750","175,684","90,398","178,046","169,373",,,,,"71,654"
四半期利益の帰属,,,,,,,,,,
親会社の所有者,"273,335","169,847","90,357","162,578","154,811",,,,,
非支配持分,"11,415","5,836",40,"15,467","14,562",,,,,
合計,"284,750","175,684","90,398","178,046","169,373",,,,,
親会社の普通株主に帰属する１株当たり当期利益,,,,,,,,,,
基本的１株当たり四半期利益,2675.300,1663.120,885.150,1593.200,1517.710,,,,,
希薄化後１株当たり四半期利益,2671.290,1660.440,883.620,1590.550,1515.230,,,,,
セグメント利益（税引前利益）,,,,,"242,678",,,,,
営業収益,,,,,,,,,,
事業会社運営等収入,,,,,,"30,377","30,265","26,481","32,512",
関係会社配当金等収入,,,,,,"68,911","88,805","50,957","59,057",
営業収益合計,,,,,,"99,289","119,071","77,438","91,570",
営業費用,,,,,,,,,,
事業費並びに販売費 及び一般管理費,,,,,,,,,,
給与手当,,,,,,"4,777","4,280","3,240","2,822",
賞与,,,,,,298,396,533,448,
賞与引当金繰入額,,,,,,"1,289","1,106",862,827,
地代家賃,,,,,,"5,045","4,419","3,881","3,775",
減価償却費,,,,,,"4,940","6,438","4,908","4,109",
委託費,,,,,,"15,832","13,923","10,620","6,420",
営業費用__事業費並びに販売費 及び一般管理費__その他,,,,,,"11,467","10,662","9,914","6,761",
営業費用合計,,,,,,"43,651","41,227","33,961","25,165",
全事業営業利益,,,,,,"55,637","77,844","43,477","66,404",
営業外収益,,,,,,,,,,
受取利息,,,,,,517,292,62,34,
有価証券利息,,,,,,99,39,86,148,
為替差益,,,,,,－,"11,218","3,508","9,904",－
営業外収益__その他,,,,,,181,132,96,151,826
営業外収益計,,,,,,799,"11,683","3,753","10,239",
営業外費用,,,,,,,,,,
支払利息,,,,,,802,42,14,39,568
為替差損,,,,,,"45,657",－,,,"1,148"
営業外費用__その他,,,,,,706,239,294,35,"1,642"
営業外費用計,,,,,,"47,166",282,308,74,
当期経常利益,,,,,,"9,270","89,245","46,921","76,569",
特別利益,,,,,,,,,,
有価証券売却益,,,,,,－,"1,773",－,,
特別利益__その他,,,,,,－,1,－,,
特別利益計,,,,,,－,"1,775",427,－,
特別損失,,,,,,,,,,
固定資産除却損,,,,,,0,9,－,58,"1,028"
有価証券売却損,,,,,,－,"1,081",－,,
投資有価証券評価損,,,,,,"18,996","15,591","23,499",－,281
減損損失,,,,,,－,"6,530",－,,116
特別損失__その他,,,,,,489,－,,,722
特別損失計,,,,,,"19,486","23,212","23,499",916,
税引前当年度純利益又は税引前当年度純損失（△）,,,,,,"-10,215","67,808",,,
法人税,,,,,,"-15,002",586,-91,"5,233","45,879"
法人税等調整額,,,,,,"-1,297","-3,005",605,"1,643","3,084"
法人税等合計,,,,,,"-16,300","-2,418",513,"6,877","48,964"
四半期純利益,,,,,,"6,084","70,227",,,
債務免除益,,,,,,,,427,－,
税引前当年度純利益,,,,,,,,"23,849","75,653",
当年度純利益,,,,,,,,"23,336","68,776",
貸倒引当金繰入額,,,,,,,,,857,
売上高,,,,,,,,,,"928,669"
売上原価,,,,,,,,,,"453,202"
売上総利益,,,,,,,,,,"475,466"
販売費及び一般管理費,,,,,,,,,,"349,016"
受取利息及び配当金,,,,,,,,,,690
還付加算金,,,,,,,,,,525
違約金収入,,,,,,,,,,79
営業外収益合計,,,,,,,,,,"2,121"
営業外費用合計,,,,,,,,,,"3,359"
経常利益,,,,,,,,,,"125,212"
固定資産売却益,,,,,,,,,,327
特別利益合計,,,,,,,,,,327
買収関連費用,,,,,,,,,,－
特別損失合計,,,,,,,,,,"2,149"
税引前当期純利益,,,,,,,,,,"123,390"
少数株主損益調整前当期純利益,,,,,,,,,,"74,426"
少数株主利益,,,,,,,,,,"2,771"
