Date,Data_type,Value
2023-04-26,Dividends,$0.06807
2022-04-29,Dividends,$0.04084
2021-04-20,Dividends,$0.02723
2019-05-01,Dividends,$0.04084
2019-04-30,Dividends,$0.04084
2018-05-01,Dividends,$0.03812
2018-01-23,Dividends,$0.11
2017-04-26,Dividends,$0.04084
2016-04-27,Dividends,$0.04084
2015-04-23,Dividends,$0.04084
2014-12-03,Dividends,$0.34
2014-12-01,Dividends,$0.34
2014-05-01,Dividends,$0.04084
2014-05-01,Splits,1.1:1
2013-04-18,Dividends,$0.02475
2012-05-02,Dividends,$0.02475
2011-04-06,Dividends,$0.02475
